ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
96123,,6,0.5,58,,22917,0
96742,,71,0.478873239,53.8,0,43438,0
96747,,918,0.486928105,36.3,2,29792,0
96759,,689,0.58490566,24,0,11755,0
97604,,90,0.6,29.2,50,17857,0
97909,,8,0.5,,0,,0
98314,,1849,0.892915089,23.2,0,31342,0
98315,,5637,0.667198865,22.5,3.1,34297,0
98364,,132,0.265151515,37,,,0
98416,,1245,0.436947791,19.5,0,,0
98438,,271,0.789667897,22.5,19.4,27955,0
98559,,144,0.208333333,13.5,,,0
99363,,20,0.5,,,,0
99505,,6649,0.608963754,21.4,2.3,40528,0
99692,,155,0.729032258,31.5,0,41346,0
99775,,1146,0.541884817,21,0.7,18514,0
66442,,15037,0.569927512,21.3,1.7,32687,0.001679543
31315,,8376,0.50286533,20.6,2.7,34583,0.002099076
31905,2,20069,0.687826997,21.3,6.4,36797,0.002583145
71459,,12356,0.573162836,22,3.3,36120,0.002635914
28307,,19622,0.516257262,22.1,3.9,35262,0.002825429
65473,,16963,0.693568355,20.8,2.4,32418,0.002968617
80902,,12540,0.591866029,21.8,1.2,32087,0.00349284
99506,,7499,0.543005734,22,0.5,40794,0.003976143
98433,,17906,0.59801184,21.8,2.3,34157,0.004706534
08641,,4134,0.588534107,22.7,5.3,36507,0.004965243
30905,,7185,0.629784273,22.3,3.7,36017,0.005371531
99703,,7348,0.549129015,21.4,2.2,34461,0.005481121
08640,,7381,0.813168947,35.1,11.1,20781,0.005707763
02542,,1155,0.530735931,22.9,0,31932,0.006097561
78234,,7100,0.556197183,20.8,2.6,33000,0.006362672
73503,,10398,0.656857088,21.3,2.7,28976,0.006442377
99011,,3092,0.606403622,21.9,0.8,35451,0.00660502
71110,,3129,0.616810483,22.1,2,40811,0.006896552
40121,,10555,0.59791568,22.5,4.5,36267,0.007083333
58204,,2045,0.546210269,22,0,34941,0.007130125
13603,,10734,0.495714552,22.7,8.8,35154,0.00732899
14604,2,1607,0.514001245,40.5,28.1,20368,0.007911392
65305,,3832,0.591336117,21.4,2.3,33847,0.009174312
76544,,33143,0.604411188,21.8,1.6,32131,0.009248361
79607,,3067,0.597978481,21.6,2.6,31231,0.009836066
94535,,4728,0.631979695,21.3,1.4,36372,0.010078387
20755,2,10369,0.514610859,22.8,5.4,43138,0.010148605
85708,,3916,0.504341164,21.4,3.1,34918,0.010242086
62701,,1095,0.62283105,43.3,14.1,32097,0.010416667
23801,,5351,0.533918894,20,7.5,41759,0.010496183
23604,,7210,0.662413315,21,2.4,32190,0.01092233
32542,,3245,0.639753467,21.7,3.5,28944,0.010973937
14203,4,1415,0.52155477,35.7,24.1,34766,0.011173184
