UANUM,UANAME,4 Week Rate,Latitude,Longitude,PredictedStationCount,DiffPredictActual,PredictedPeoplePerStation,Population,PredictedStationsPerHousehold
81415,"Shelton, WA",151865.05,47.2152778,-123.09944440000001,0.78,-0.22,-0.11,18705,0.00012699446434386193
81472,"Shenandoah--Mahanoy City--Frackville, PA",2904.0,40.783888899999994,-76.2305556,0.26,0.26,0.26,19009,3.954372623574145e-05
81442,"Shenandoah, IA",900.0,40.765555600000006,-95.3719444,0.02,0.02,0.02,5203,8.798944126704796e-06
81496,"Shepherdstown, WV--MD",4200.0,39.43,-77.80444440000001,0.1,0.1,0.1,4856,7.763975155279503e-05
81523,"Sheridan, AR",14883.333333333301,34.3069444,-92.4011111,0.06,0.06,0.06,4458,3.9761431411530815e-05
81550,"Sheridan, IN",24887.8,40.135,-86.2205556,0.02,0.02,0.02,2745,1.7316017316017318e-05
81577,"Sheridan, OR",2100.0,45.099444399999996,-123.3936111,0.0,0.0,0.0,8468,0.0
81604,"Sheridan, WY",816.6666666666998,44.7972222,-106.95555559999998,0.24,0.24,0.24,18786,3.0299204645878046e-05
81631,"Sherman, TX",78975.0,33.6355556,-96.60861109999999,3.76,-0.24,-0.048,61900,0.00015533338841609517
81658,"Shippensburg, PA",4695.8333333333,40.0505556,-77.5205556,0.2,0.2,0.2,17008,3.075503613716746e-05
81685,"Shiprock, NM",2750.0,36.7855556,-108.6863889,0.04,0.04,0.04,6669,2.0887728459530027e-05
81701,"Shorewood Forest, IN",3033.3333333333007,40.373611100000005,-86.33277779999999,0.06,0.06,0.06,3079,5.484460694698354e-05
81712,"Show Low, AZ",2560.0,34.2541667,-110.02916670000002,0.2,0.2,0.2,10409,4.598758335249483e-05
81739,"Shreveport, LA",7612.7777777778,32.525,-93.75,10.52,6.52,1.304,298317,9.045105153646415e-05
81766,"Sibley, IA",1003.75,43.3991667,-95.7516667,0.02,0.02,0.02,2690,1.8570102135561747e-05
81793,"Sidney, MT",591.6666666666999,47.716666700000005,-104.1558333,0.06,0.06,0.06,5438,2.4281667341157425e-05
81820,"Sidney, NE",3375.0,41.1427778,-102.9775,0.1,0.1,0.1,6373,3.472222222222222e-05
81847,"Sidney, NY",39262.5,42.3147222,-75.3919444,0.22,0.22,0.22,5565,8.553654743390358e-05
81874,"Sidney, OH",3414.1818181818,40.2841667,-84.1555556,0.18,0.18,0.18,21956,2.1681522524692844e-05
81889,"Sierra View--Indian Mountain Lake, PA",39262.5,41.3525,-76.03277779999999,1.14,1.14,1.14,28347,0.00012244897959183673
81901,"Sierra Vista, AZ",23490.7619047619,31.554444399999994,-110.3030556,3.42,3.42,3.42,52745,0.0001711369095276221
81928,"Sikeston, MO",1955.0,36.8766667,-89.5877778,0.34,0.34,0.34,16536,5.198776758409786e-05
81955,"Siler City, NC",1200.0,35.7233333,-79.4625,0.16,0.16,0.16,9076,5.186385737439222e-05
81982,"Siloam Springs, AR--OK",20325.1875,36.188055600000006,-94.5402778,0.4,0.4,0.4,19326,6.199628022318661e-05
82009,"Silsbee, TX",7921.5555555556,30.348888899999995,-94.17777779999999,1.16,-0.84,-0.28,9531,0.000302477183833116
82023,"Silt, CO",1240.0,39.5486111,-107.65555559999999,0.02,0.02,0.02,2966,2.1598272138228943e-05
82036,"Silver City, NM",2142.8571428572,32.77,-108.27972220000001,0.4,0.4,0.4,12705,7.898894154818326e-05
82063,"Silver Creek, NY",37498.285714285696,42.5441667,-79.1669444,0.2,0.2,0.2,3799,0.0001277139208173691
82076,"Silver Lakes, CA",23734.2857142857,34.740285,-117.325717,0.28,0.28,0.28,5394,0.00013745704467353953
82090,"Silverthorne--Frisco, CO",13720.0,39.5744444,-106.09694440000001,2.64,1.64,0.82,15351,0.0004238240488039814
82117,"Silverton, OR",2100.0,45.0052778,-122.78194440000001,0.8,-0.2,-0.1,9614,0.00021419009370816602
82144,"Simi Valley, CA",261570.416666667,34.2694444,-118.78055559999999,8.38,0.38,0.042222222000000004,125206,0.00019802916085733866
82171,"Sinton, TX",10394.4285714286,28.036388899999995,-97.5088889,0.0,0.0,0.0,6071,0.0
82198,"Sioux Center, IA",20318.8333333333,43.0797222,-96.17527779999999,0.06,0.06,0.06,6649,2.866698518872432e-05
82225,"Sioux City, IA--NE--SD",700.0,42.5,-96.4,5.0,-1.0,-0.14285714300000002,106494,0.0001262339367315509
82252,"Sioux Falls, SD",20318.8333333333,43.55,-96.7,7.92,5.92,1.973333333,156777,0.00012440507044908346
82279,"Sissonville, WV",3214.25,38.5280556,-81.6311111,0.24,0.24,0.24,2888,0.00015936254980079682
82306,"Sitka, AK",3850.0,57.0530556,-135.33,0.54,0.54,0.54,7027,0.00018588640275387264
82333,"Skaneateles, NY",12064.5,42.94694439999999,-76.42944440000001,0.74,-0.26,-0.13,3524,0.00047527296082209376
82360,"Skiatook, OK",14163.1578947368,36.368333299999996,-96.00111109999999,0.08,0.08,0.08,6768,3.0429821224800303e-05
82387,"Skowhegan, ME",2300.0,44.765,-69.7197222,0.26,0.26,0.26,4751,0.00012121212121212122
82414,"Slaton, TX",8853.0,33.4372222,-101.6430556,0.04,0.04,0.04,5938,1.704303365999148e-05
82441,"Sleepy Eye, MN",1388.3333333332998,44.2972222,-94.7238889,0.02,0.02,0.02,3479,1.4534883720930233e-05
82468,"Slidell, LA",2669.1666666667,30.275,-89.78111109999999,5.6,3.6,1.2,91151,0.0001674941676138063
82495,"Slippery Rock, PA",1500.0,41.063888899999995,-80.05666670000001,0.96,-0.04,-0.02,6716,0.000548885077186964
82522,"Smithfield, NC",3602.5,35.5083333,-78.33972220000001,0.62,0.62,0.62,27155,6.122852063993679e-05
82549,"Smithfield, VA",3100.0,36.9822222,-76.6313889,0.12,0.12,0.12,10215,2.7675276752767528e-05
82562,"Smithton, IL",6300.0,38.4086111,-89.99194440000001,0.0,0.0,0.0,3720,0.0
82641,"Smithville North, MO",60467.5,39.386944,-94.581066,0.26,0.26,0.26,2751,0.0002462121212121212
82603,"Smithville, TN",1010.3846153846,35.960555600000006,-85.8141667,0.0,0.0,0.0,4050,0.0
82630,"Smithville, TX",58266.6666666667,30.008333299999997,-97.1591667,0.04,0.04,0.04,3750,2.9261155815654717e-05
82665,"Sneads Ferry, NC",4200.0,34.5525,-77.3975,0.04,0.04,0.04,3899,2.6298487836949376e-05
