UA,UANAME,ZCTA5
99999,Not in a 2010 urban area,47909
46018,"Lafayette, IN Urbanized Area",47907
46018,"Lafayette, IN Urbanized Area",47906
99999,Not in a 2010 urban area,47906
46018,"Lafayette, IN Urbanized Area",47905
99999,Not in a 2010 urban area,47905
46018,"Lafayette, IN Urbanized Area",47904
99999,Not in a 2010 urban area,47904
46018,"Lafayette, IN Urbanized Area",47901
87139,"Terre Haute, IN Urbanized Area",47885
99999,Not in a 2010 urban area,47885
99999,Not in a 2010 urban area,47884
85438,"Sullivan, IN Urban Cluster",47882
99999,Not in a 2010 urban area,47882
99999,Not in a 2010 urban area,47881
99999,Not in a 2010 urban area,47880
99999,Not in a 2010 urban area,47879
99999,Not in a 2010 urban area,47876
99999,Not in a 2010 urban area,47874
75934,"Rockville, IN Urban Cluster",47872
99999,Not in a 2010 urban area,47872
99999,Not in a 2010 urban area,47871
99999,Not in a 2010 urban area,47869
99999,Not in a 2010 urban area,47868
99999,Not in a 2010 urban area,47866
99999,Not in a 2010 urban area,47865
99999,Not in a 2010 urban area,47863
99999,Not in a 2010 urban area,47862
99999,Not in a 2010 urban area,47861
99999,Not in a 2010 urban area,47860
99999,Not in a 2010 urban area,47859
99999,Not in a 2010 urban area,47858
87139,"Terre Haute, IN Urbanized Area",47857
99999,Not in a 2010 urban area,47857
99999,Not in a 2010 urban area,47855
99999,Not in a 2010 urban area,47854
87139,"Terre Haute, IN Urbanized Area",47853
99999,Not in a 2010 urban area,47850
99999,Not in a 2010 urban area,47849
99999,Not in a 2010 urban area,47848
99999,Not in a 2010 urban area,47847
99999,Not in a 2010 urban area,47846
17911,"Clinton, IN Urban Cluster",47842
99999,Not in a 2010 urban area,47842
99999,Not in a 2010 urban area,47841
99999,Not in a 2010 urban area,47840
99999,Not in a 2010 urban area,47838
99999,Not in a 2010 urban area,47837
99999,Not in a 2010 urban area,47836
87139,"Terre Haute, IN Urbanized Area",47834
99999,Not in a 2010 urban area,47834
99999,Not in a 2010 urban area,47833
99999,Not in a 2010 urban area,47832
87139,"Terre Haute, IN Urbanized Area",47809
87139,"Terre Haute, IN Urbanized Area",47807
99999,Not in a 2010 urban area,47807
87139,"Terre Haute, IN Urbanized Area",47805
99999,Not in a 2010 urban area,47805
87139,"Terre Haute, IN Urbanized Area",47804
99999,Not in a 2010 urban area,47804
87139,"Terre Haute, IN Urbanized Area",47803
99999,Not in a 2010 urban area,47803
87139,"Terre Haute, IN Urbanized Area",47802
99999,Not in a 2010 urban area,47802
28333,"Evansville, IN--KY Urbanized Area",47725
99999,Not in a 2010 urban area,47725
28333,"Evansville, IN--KY Urbanized Area",47720
99999,Not in a 2010 urban area,47720
28333,"Evansville, IN--KY Urbanized Area",47715
99999,Not in a 2010 urban area,47715
28333,"Evansville, IN--KY Urbanized Area",47714
28333,"Evansville, IN--KY Urbanized Area",47713
28333,"Evansville, IN--KY Urbanized Area",47712
99999,Not in a 2010 urban area,47712
28333,"Evansville, IN--KY Urbanized Area",47711
99999,Not in a 2010 urban area,47711
28333,"Evansville, IN--KY Urbanized Area",47710
99999,Not in a 2010 urban area,47710
28333,"Evansville, IN--KY Urbanized Area",47708
99999,Not in a 2010 urban area,47683
72316,"Princeton, IN Urban Cluster",47670
99999,Not in a 2010 urban area,47670
99999,Not in a 2010 urban area,47666
99999,Not in a 2010 urban area,47665
64486,"Oakland City, IN Urban Cluster",47660
99999,Not in a 2010 urban area,47660
99999,Not in a 2010 urban area,47654
99999,Not in a 2010 urban area,47649
30601,"Fort Branch, IN Urban Cluster",47648
99999,Not in a 2010 urban area,47648
99999,Not in a 2010 urban area,47640
30601,"Fort Branch, IN Urban Cluster",47639
99999,Not in a 2010 urban area,47639
99999,Not in a 2010 urban area,47638
99999,Not in a 2010 urban area,47637
99999,Not in a 2010 urban area,47635
99999,Not in a 2010 urban area,47634
99999,Not in a 2010 urban area,47633
99999,Not in a 2010 urban area,47631
28333,"Evansville, IN--KY Urbanized Area",47630
99999,Not in a 2010 urban area,47630
28333,"Evansville, IN--KY Urbanized Area",47620
60355,"Mount Vernon, IN Urban Cluster",47620
99999,Not in a 2010 urban area,47620
99999,Not in a 2010 urban area,47619
99999,Not in a 2010 urban area,47616
99999,Not in a 2010 urban area,47615
99999,Not in a 2010 urban area,47613
99999,Not in a 2010 urban area,47612
99999,Not in a 2010 urban area,47611
28333,"Evansville, IN--KY Urbanized Area",47610
99999,Not in a 2010 urban area,47610
9163,"Boonville, IN Urban Cluster",47601
