Unnamed: 0,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation,MarketSize,LatitudeAug
1942,53200,"Madison, WI",401661,43.0730556,-89.4011111,6718,240,29.4,5.2,2088.6372,39.58,42,-2.42,-0.05627907,173176,4375.341081,Medium,43.07331819
2125,57709,"Mission Viejo--Lake Forest--San Clemente, CA",583681,33.4269444,-117.6111111,62375,300,212,7.5,4377.6075,38.56,34,4.56,0.130285714,218414,5664.263485,Medium,33.43233191
1520,41347,"Indio--Cathedral City, CA",345580,33.7797222,-116.4644444,62375,300,212,7.5,2591.85,36.12,50,-13.88,-0.272156863,131377,3637.236988,Medium,33.78117836
2877,79606,"Sarasota--Bradenton, FL",643260,27.4986111,-82.575,58306.88889,466.6666667,129.4444444,3.222222222,2072.726667,35.24,46,-10.76,-0.22893617,282446,8014.92622,Medium,27.50467426
2064,56116,"Memphis, TN--MS--AR",1060061,35.1494444,-90.0488889,24436.54167,156.25,40.25,2.95375,3131.155179,33.66,26,7.66,0.283703704,392467,11659.7445,Large,35.15691372
2872,79498,"Santa Rosa, CA",308231,38.4405556,-122.7133333,3712.333333,466.6666667,10,15,4623.465,33.46,42,-8.54,-0.198604651,114752,3429.527794,Medium,38.44659772
918,25228,"Durham, NC",347602,35.9938889,-78.8988889,17940,400,45.66666667,10.33333333,3591.887333,32.74,35,-2.26,-0.062777778,141384,4318.387294,Medium,36.00111228
3044,83926,"Springfield, MA--CT",621300,42.1013889,-72.5902778,26710,550,49.4375,9.1875,5708.19375,32.7,31,1.7,0.053125,233426,7138.409786,Medium,42.11061123
87,2602,"Ann Arbor, MI",306022,42.2708333,-83.7263889,4500,200,23,7,2142.154,32.02,27,5.02,0.179285714,122746,3833.416615,Medium,42.27816941
1768,47719,"Lansing, MI",313532,42.7325,-84.5555556,10000,400,25,7,2194.724,31.78,38,-6.22,-0.159487179,125153,3938.105727,Medium,42.74136465
2864,79282,"Santa Barbara, CA",195861,34.4208333,-119.6972222,44720.18182,945.4545455,47.81818182,8,1566.888,29.68,32,-2.32,-0.07030303,70325,2369.440701,Medium,34.42282888
119,3358,"Asheville, NC",280648,35.6008333,-82.5541667,11542.85714,714.2857143,15.14285714,4,1122.592,29.46,39,-9.54,-0.2385,119730,4064.154786,Medium,35.60478031
1300,35461,"Greenville, SC",400492,34.8525,-82.3941667,1800,800,2.5,7,2803.444,29.26,39,-9.74,-0.2435,154999,5297.300068,Medium,34.8592317
2768,75664,"Rochester, NY",720572,43.1547222,-77.6158333,35908.33333,733.3333333,51,5.833333333,4203.336667,27.9,28,-0.1,-0.003448276,290460,10410.75269,Medium,43.16058004
2401,65242,"Olympia--Lacey, WA",176617,47.0344444,-122.8219444,151865.05,142.5,261,6.6745,1178.830167,27.4,41,-13.6,-0.323809524,72700,2653.284672,Medium,47.038038
1908,51755,"Louisville/Jefferson County, KY--IN",972546,38.252665,-85.758456,1127.142857,457.1428571,2.714285714,7,6807.822,27.28,12,15.28,1.175384615,392405,14384.34751,Medium,38.25978186
1123,30628,"Fort Collins, CO",264465,40.5852778,-105.0838889,800,400,2,6,1586.79,26.26,31,-4.74,-0.148125,106172,4043.107388,Medium,40.59317901
1029,28117,"Eugene, OR",247421,44.0522222,-123.0855556,600,200,3,4,989.684,25.24,29,-3.76,-0.125333333,102491,4060.657686,Medium,44.05813651
310,8407,"Bloomington--Normal, IL",132600,40.5141667,-88.9905556,5566.666667,466.6666667,12.66666667,7.333333333,972.4,25.02,33,-7.98,-0.234705882,50076,2001.438849,Medium,40.51802931
690,18964,"Columbia, SC",549777,34.0005556,-81.035,20191.07143,885.7142857,23.5,3.642857143,2002.759071,24.98,30,-5.02,-0.161935484,211092,8450.440352,Medium,34.00260944
287,7786,"Birmingham, AL",749495,33.5205556,-86.8025,185164,1600,116,8,5995.96,24.74,18,6.74,0.354736842,297050,12006.87146,Medium,33.52200364
153,4222,"Augusta-Richmond County, GA--SC",386787,33.473498,-82.010515,77550,840,93.8,5,1933.935,23.6,7,16.6,2.075,143969,6100.381356,Medium,33.4776973
345,9298,"Boulder, CO",114591,40.015,-105.27,800,400,2,6,687.546,23.24,24,-0.76,-0.0304,48883,2103.399312,Medium,40.02265074
2866,79336,"Santa Cruz, CA",163703,36.9741667,-122.0297222,114990.5769,149.0384615,193.8846154,3.433461539,562.0679542,23.12,23,0.12,0.005,62966,2723.442907,Medium,36.97733756
51,1495,"Allentown, PA--NJ",664651,40.6083333,-75.4905556,16605,760,23.9,7.3,4851.9523,23.02,8,15.02,1.668888889,251873,10941.48566,Medium,40.61755521
