Location,Code,Location2,Code2
Pittsburgh (DMA),#ERROR!,", Pittsburgh",#ERROR!
Ponce (Region) (DMA),#ERROR!,", Ponce ",#ERROR!
Quincy IL-MO (CBSA),#ERROR!,"Quincy IL-, MO",#ERROR!
Raleigh-Durham (Fayetteville) (DMA),#ERROR!,"Raleigh-, Durham ",#ERROR!
Sacramento,#ERROR!,Sacramento,#ERROR!
Saginaw-Saginaw Township North MI (CBSA),#ERROR!,"Saginaw-Saginaw Township North , MI",#ERROR!
Salisbury,#ERROR!,Salisbury,#ERROR!
San Antonio,#ERROR!,San Antonio,#ERROR!
San Francisco,#ERROR!,San Francisco,#ERROR!
Sherman-Ada (DMA),#ERROR!,"Sherman-, Ada",#ERROR!
Shreveport (DMA),#ERROR!,", Shreveport",#ERROR!
Spokane (DMA),#ERROR!,", Spokane",#ERROR!
St. Cloud MN (CBSA),#ERROR!,"St. Cloud , MN",#ERROR!
Tallahassee et al FL-GA (DMA),#ERROR!,"Tallahassee et al FL-, GA",#ERROR!
Tampa,#ERROR!,Tampa,#ERROR!
Terre Haute (DMA),#ERROR!,"Terre , Haute",#ERROR!
Union City TN-KY (CBSA),#ERROR!,"Union City TN-, KY",#ERROR!
Virginia Beach-Norfolk-Newport News VA-NC (CBSA),#ERROR!,"Virginia Beach-Norfolk-Newport News VA-, NC",#ERROR!
Waco-Temple-Bryan (DMA),#ERROR!,"Waco-Temple-, Bryan",#ERROR!
Washington-Arlington-Alexandria DC-VA-MD-WV (CBSA),#ERROR!,"Washington-Arlington-Alexandria DC-VA-MD-, WV",#ERROR!
Washington D.C.,#ERROR!,Washington D.C.,#ERROR!
Watertown-Fort Drum NY (CBSA),#ERROR!,"Watertown-Fort Drum , NY",#ERROR!
Weirton-Steubenville WV-OH (CBSA),#ERROR!,"Weirton-Steubenville WV-, OH",#ERROR!
Wilkes Barre-Scranton (DMA),#ERROR!,"Wilkes Barre-, Scranton",#ERROR!
Wilmington (DMA),#ERROR!,", Wilmington",#ERROR!
Youngstown (DMA),#ERROR!,", Youngstown",#ERROR!
Zanesville (DMA),#ERROR!,", Zanesville",#ERROR!
Punta Gorda FL (CBSA),#ERROR!,"Punta Gorda , FL","26.9294444,-82.0455556"
Laredo TX (CBSA),#ERROR!,"Laredo , TX","27.5061111,-99.5072222"
Palm Bay-Melbourne-Titusville FL (CBSA),#ERROR!,"Palm Bay-Melbourne-Titusville , FL","28.6119444,-80.8077778"
Deltona-Daytona Beach-Ormond Beach FL (CBSA),#ERROR!,"Deltona-Daytona Beach-Ormond Beach , FL","29.2855556,-81.0561111"
