Market Name,4 Week Rate,4 Week TRP,CPP,CPM,Latitude,Longitude
Beeville TX  (CBSA),2620.8333333333,800,3.3333333333,11,38.861162,-86.487215
Bellefontaine OH (CBSA),1770,440,4.8,9.6,40.361164,-83.759656
Bemidji MN (CBSA),1761.25,300,6,13,47.487536,-94.885849
Big Spring TX (CBSA),1611.4285714286,342.8571428571,4.8571428571,11.1428571429,32.250398,-101.478735
Billings (DMA),3361,280,12.8,5,45.783286,-108.50069
Billings MT (CBSA),10944,440,18.4,11.2,45.783286,-108.50069
Birmingham (Anniston and Tuscaloosa) (DMA),185164,1600,116,8,33.520661,-86.80249
Birmingham-Hoover AL (CBSA),34889.3333333333,777.7777777778,40.7777777778,4.6666666667,33.33896,-86.851694
Blackfoot ID (CBSA),1050,300,3.5,8,43.190471,-112.344977
Blacksburg-Christiansburg-Radford VA (CBSA),4595,600,8,5,37.1705,-80.5189
Bloomington IL (CBSA),5566.6666666667,466.6666666667,12.6666666667,7.3333333333,40.484203,-88.993687
Bloomington IN (CBSA),7098.5714285714,457.1428571429,17,8.8571428571,39.165325,-86.526386
Bloomsburg-Berwick PA (CBSA),3000,500,6.5,8,41.026742,-76.358569
Bluefield WV-VA (CBSA),1563,430.7692307692,3.8461538462,3.7692307692,37.26984,-81.22232
Bluefield-Beckley-Oak Hill (DMA),6300,500,13.25,4.5,37.736791,-81.133031
Blytheville AR (CBSA),1455.7142857143,771.4285714286,2.2857142857,5.4285714286,35.927295,-89.918975
Bogalusa LA (CBSA),1312.5,300,4.5,8,30.79102,-89.848686
Boise City-Nampa ID (CBSA),11628.5714285714,400,30,6.1428571429,43.590999,-116.276786
Boone IA (CBSA),500,200,3,5,42.059705,-93.880227
Borger TX  (CBSA),908.3333333333,400,2,12,36.216795,-81.674552
Boston,266514,156.25,441.0625,8.63125,42.360083,-71.05888
Boulder CO  (CBSA),2300,200,12,4,43.193852,-71.572395
Bozeman MT (CBSA),1750,250,6.75,6.75,45.676998,-111.042934
Bradford PA (CBSA),6520,880,7.6,21.6,41.956495,-78.649163
Brainerd MN (CBSA),2010,333.3333333333,6.6666666667,8.1666666667,46.352673,-94.202008
Branson MO (CBSA),5100,1000,5.25,7.25,36.643673,-93.218514
Brenham TX (CBSA),1328.5714285714,371.4285714286,3.8571428571,10.7142857143,30.166883,-96.397744
Brevard NC (CBSA),1800,800,2.5,7,35.233447,-82.734292
Bridgeport-Stamford-Norwalk CT  (CBSA),38043.75,700,57.375,7.125,35.233447,-82.734292
Brookhaven MS (CBSA),1140,400,3.3333333333,9.3333333333,31.579059,-90.440651
Brookings SD (CBSA),1130,400,3.25,8,44.311357,-96.798388
Brunswick GA (CBSA),5705.3333333333,533.3333333333,11.6666666667,10.3333333333,31.149953,-81.491489
Buffalo - Niagara Region (DMA),43041.5833333333,500,89.75,6.75,42.886447,-78.878369
Buffalo-Niagara Falls NY (CBSA),33521.1111111111,711.1111111111,49.9444444444,5.2777777778,42.92748,-78.86771
Burley ID (CBSA),630,300,2,5,42.535743,-113.792795
Burlington IA-IL  (CBSA),1900,200,10,20,42.535743,-113.792795
Butte-Bozeman (DMA),2466.6666666667,200,12.6666666667,7.3333333333,45.667692,-111.248301
Butte-Silver Bow MT (CBSA),913,320,3,7.4,46.003823,-112.534778
Calhoun GA (CBSA),2078.5714285714,714.2857142857,3.1428571429,6.2857142857,34.502587,-84.951054
Canon City CO (CBSA),1550,400,4,7.5,38.449406,-105.225332
Canton IL (CBSA),1550,200,8,18,40.558095,-90.035117
Cape Coral-Fort Myers FL (CBSA),16800,575,32.625,5.625,26.558783,-81.922892
Cape Girardeau-Jackson MO-IL (CBSA),4200,620,7.3,8,37.382273,-89.666206
