"UANUM","UANAME","Population","Latitude","Longitude","4 Week Rate","4 Week TRP","CPP","CPM"
76933,"Russellville, AR",32733,35.2783333,-93.1336111,1600.0,720.0,2.4,3.0
76960,"Russellville, KY",6714,36.8452778,-86.88722220000001,10055.3571428571,685.7142857143,16.428571428599998,6.0714285714
76987,"Ruston, LA",27724,32.523055600000006,-92.6377778,4438.727272727299,854.5454545455,5.2727272727,3.7272727273000004
77014,"Rutland, VT",19840,43.610555600000005,-72.9730556,3450.0,300.0,12.5,10.5
77027,"Sabetha, KS",2526,39.902222200000004,-95.8005556,1066.6666666667,466.6666666667,3.0,12.0
77041,"Sabina, OH",2512,39.4886111,-83.6369444,2231.8181818182,1036.3636363636,2.7272727273000004,10.0909090909
77068,"Sacramento, CA",1723634,38.5816667,-121.49333329999999,72659.7083333333,156.25,119.5,3.6733333333
77095,"Safford, AZ",19151,32.8338889,-109.70694440000001,23490.7619047619,142.8571428571,40.5714285714,4.4504761905
77149,"Saginaw, MI",126265,43.419444399999996,-83.9508333,7970.0,800.0,10.5,6.25
77161,"Sahuarita--Green Valley, AZ",40691,31.8541667,-110.99305559999999,23490.7619047619,142.8571428571,40.5714285714,4.4504761905
78067,"Salamanca, NY",5738,42.1577778,-78.7152778,6520.0,880.0,7.6,21.6
78094,"Salem, IL",8300,38.6269444,-88.94555559999999,983.3333333333001,400.0,2.6666666667,7.0
78121,"Salem, IN",6544,38.6055556,-86.1011111,1470.0,457.1428571429,3.5714285714,7.5714285714
78148,"Salem, MO",4921,37.6455556,-91.5358333,2653.8461538461997,676.9230769231,4.3846153846,8.8461538462
78175,"Salem, NJ",5724,39.5716667,-75.4675,7344.0,320.0,22.8,5.4
78202,"Salem, OH",18617,40.900833299999995,-80.8569444,17915.3846153846,861.5384615385001,24.1538461538,5.2307692308
78229,"Salem, OR",236632,44.9430556,-123.0338889,600.0,200.0,3.0,4.0
78256,"Salida, CO",6663,38.5347222,-105.99833329999998,1550.0,400.0,4.0,7.5
78283,"Salina, KS",47493,38.8402778,-97.61111109999999,20320.6875,156.25,33.5,3.68875
78310,"Salinas, CA",184809,36.6777778,-121.65444440000002,10606.25,500.0,23.5,5.0
78364,"Salisbury, MD--DE",98081,38.360555600000005,-75.5997222,122361.3125,156.25,205.6875,8.914375
78418,"Sallisaw, OK",8179,35.4602778,-94.7872222,20325.1875,156.25,33.375,5.405625
78445,"Salmon, ID",3084,45.1758333,-113.895,913.0,320.0,3.0,7.4
78499,"Salt Lake City--West Valley City, UT",1021243,40.6916667,-112.00027779999999,8966.6666666667,266.6666666667,34.6666666667,6.666666666699999
78472,"Saltillo, MS",4303,34.376388899999995,-88.68166670000001,8135.714285714301,914.2857142857001,9.285714285700001,7.2857142857
78526,"Saluda, SC",3528,34.001388899999995,-81.7722222,77550.0,840.0,93.8,5.0
78553,"San Angelo, TX",92984,31.463611100000005,-100.4366667,3558.3333333333003,766.6666666666999,5.5,5.0
78580,"San Antonio, TX",1758210,29.423888899999998,-98.4933333,29200.28125,156.25,47.78125,2.4753125
78607,"San Carlos, AZ",3993,33.3452778,-110.4525,23490.7619047619,142.8571428571,40.5714285714,4.4504761905
